Series;Time;Value
TB Bond Vibration;2021-05-24T12:09:43+02:00;0.026765937499999996
TB Bond Vibration;2021-05-24T12:09:44+02:00;0.026638537499999997
TB Bond Vibration;2021-05-24T12:09:45+02:00;0.026761962500000003
TB Bond Vibration;2021-05-24T12:09:46+02:00;0.026704899999999997
TB Bond Vibration;2021-05-24T12:09:47+02:00;0.0268442375
TB Bond Vibration;2021-05-24T12:09:48+02:00;0.0267168375
TB Bond Vibration;2021-05-24T12:09:49+02:00;0.02686945
TB Bond Vibration;2021-05-24T12:09:50+02:00;0.0267792125
TB Bond Vibration;2021-05-24T12:09:51+02:00;0.0268508625
TB Bond Vibration;2021-05-24T12:09:52+02:00;0.0267924875
TB Bond Vibration;2021-05-24T12:09:53+02:00;0.0268813875
TB Bond Vibration;2021-05-24T12:09:54+02:00;0.02678585
TB Bond Vibration;2021-05-24T12:09:55+02:00;0.0268628125
TB Bond Vibration;2021-05-24T12:09:56+02:00;0.026769925
TB Bond Vibration;2021-05-24T12:09:57+02:00;0.026821675
TB Bond Vibration;2021-05-24T12:09:58+02:00;0.026541674999999997
TB Bond Vibration;2021-05-24T12:09:59+02:00;0.0267831875
TB Bond Vibration;2021-05-24T12:10:00+02:00;0.026688974999999997
TB Bond Vibration;2021-05-24T12:10:01+02:00;0.026797787499999996
TB Bond Vibration;2021-05-24T12:10:02+02:00;0.026793812500000003
TB Bond Vibration;2021-05-24T12:10:03+02:00;0.026706225
TB Bond Vibration;2021-05-24T12:10:04+02:00;0.026706225
TB Bond Vibration;2021-05-24T12:10:05+02:00;0.026772575
TB Bond Vibration;2021-05-24T12:10:06+02:00;0.0267632875
TB Bond Vibration;2021-05-24T12:10:07+02:00;0.0268508625
TB Bond Vibration;2021-05-24T12:10:08+02:00;0.026739412499999997
TB Bond Vibration;2021-05-24T12:10:09+02:00;0.02675135
TB Bond Vibration;2021-05-24T12:10:10+02:00;0.026848224999999996
TB Bond Vibration;2021-05-24T12:10:11+02:00;0.027000825
TB Bond Vibration;2021-05-24T12:10:12+02:00;0.026605374999999997
TB Bond Vibration;2021-05-24T12:10:13+02:00;0.02682565
TB Bond Vibration;2021-05-24T12:10:14+02:00;0.02693315
TB Bond Vibration;2021-05-24T12:10:15+02:00;0.0267646125
TB Bond Vibration;2021-05-24T12:10:16+02:00;0.026889362500000003
TB Bond Vibration;2021-05-24T12:10:17+02:00;0.0266704
TB Bond Vibration;2021-05-24T12:10:18+02:00;0.026880062500000003
TB Bond Vibration;2021-05-24T12:10:19+02:00;0.026957037499999996
TB Bond Vibration;2021-05-24T12:10:20+02:00;0.02694775
TB Bond Vibration;2021-05-24T12:10:21+02:00;0.026797787499999996
TB Bond Vibration;2021-05-24T12:10:22+02:00;0.026832299999999996
TB Bond Vibration;2021-05-24T12:10:23+02:00;0.0266929625
TB Bond Vibration;2021-05-24T12:10:24+02:00;0.026873437500000003
TB Bond Vibration;2021-05-24T12:10:25+02:00;0.02675135
TB Bond Vibration;2021-05-24T12:10:26+02:00;0.026836275
TB Bond Vibration;2021-05-24T12:10:27+02:00;0.0268070875
TB Bond Vibration;2021-05-24T12:10:28+02:00;0.026845562499999996
TB Bond Vibration;2021-05-24T12:10:29+02:00;0.026787175000000003
TB Bond Vibration;2021-05-24T12:10:30+02:00;0.026767275
TB Bond Vibration;2021-05-24T12:10:31+02:00;0.026925187499999996
TB Bond Vibration;2021-05-24T12:10:32+02:00;0.026943762500000003
TB Bond Vibration;2021-05-24T12:10:33+02:00;0.0268468875
TB Bond Vibration;2021-05-24T12:10:34+02:00;0.026791150000000003
TB Bond Vibration;2021-05-24T12:10:35+02:00;0.0266173125
TB Bond Vibration;2021-05-24T12:10:36+02:00;0.0269159
TB Bond Vibration;2021-05-24T12:10:37+02:00;0.026787175000000003
TB Bond Vibration;2021-05-24T12:10:38+02:00;0.026909262499999996
TB Bond Vibration;2021-05-24T12:10:39+02:00;0.026880062500000003
TB Bond Vibration;2021-05-24T12:10:40+02:00;0.026858824999999996
TB Bond Vibration;2021-05-24T12:10:41+02:00;0.0268973125
TB Bond Vibration;2021-05-24T12:10:42+02:00;0.026787175000000003
TB Bond Vibration;2021-05-24T12:10:43+02:00;0.026854850000000003
TB Bond Vibration;2021-05-24T12:10:44+02:00;0.026752674999999997
TB Bond Vibration;2021-05-24T12:10:45+02:00;0.026885375
TB Bond Vibration;2021-05-24T12:10:46+02:00;0.026797787499999996
TB Bond Vibration;2021-05-24T12:10:47+02:00;0.0268575
TB Bond Vibration;2021-05-24T12:10:48+02:00;0.026653149999999997
TB Bond Vibration;2021-05-24T12:10:49+02:00;0.026771250000000003
TB Bond Vibration;2021-05-24T12:10:50+02:00;0.026723475000000003
TB Bond Vibration;2021-05-24T12:10:51+02:00;0.026868125
TB Bond Vibration;2021-05-24T12:10:52+02:00;0.0268747625
TB Bond Vibration;2021-05-24T12:10:53+02:00;0.026772575
TB Bond Vibration;2021-05-24T12:10:54+02:00;0.0268601625
TB Bond Vibration;2021-05-24T12:10:55+02:00;0.026905275
TB Bond Vibration;2021-05-24T12:10:56+02:00;0.02696765
TB Bond Vibration;2021-05-24T12:10:57+02:00;0.0268084125
TB Bond Vibration;2021-05-24T12:10:58+02:00;0.0266704
TB Bond Vibration;2021-05-24T12:10:59+02:00;0.0267128625
TB Bond Vibration;2021-05-24T12:11:00+02:00;0.0267831875
TB Bond Vibration;2021-05-24T12:11:01+02:00;0.0268376
TB Bond Vibration;2021-05-24T12:11:02+02:00;0.0266704
TB Bond Vibration;2021-05-24T12:11:03+02:00;0.0269265
TB Bond Vibration;2021-05-24T12:11:04+02:00;0.0267792125
TB Bond Vibration;2021-05-24T12:11:05+02:00;0.0269013
TB Bond Vibration;2021-05-24T12:11:06+02:00;0.0267752375
TB Bond Vibration;2021-05-24T12:11:07+02:00;0.026801775
TB Bond Vibration;2021-05-24T12:11:08+02:00;0.026703575
TB Bond Vibration;2021-05-24T12:11:09+02:00;0.0267447125
TB Bond Vibration;2021-05-24T12:11:10+02:00;0.026704899999999997
TB Bond Vibration;2021-05-24T12:11:11+02:00;0.02678585
TB Bond Vibration;2021-05-24T12:11:12+02:00;0.026858824999999996
TB Bond Vibration;2021-05-24T12:11:13+02:00;0.026927837500000003
TB Bond Vibration;2021-05-24T12:11:14+02:00;0.026809737500000003
TB Bond Vibration;2021-05-24T12:11:15+02:00;0.026769925
TB Bond Vibration;2021-05-24T12:11:16+02:00;0.0268177
TB Bond Vibration;2021-05-24T12:11:17+02:00;0.026739412499999997
TB Bond Vibration;2021-05-24T12:11:18+02:00;0.026789825
TB Bond Vibration;2021-05-24T12:11:19+02:00;0.0267088875
TB Bond Vibration;2021-05-24T12:11:20+02:00;0.026858824999999996
TB Bond Vibration;2021-05-24T12:11:21+02:00;0.0269543875
TB Bond Vibration;2021-05-24T12:11:22+02:00;0.026868125
TB Bond Vibration;2021-05-24T12:11:23+02:00;0.02681505
TB Bond Vibration;2021-05-24T12:11:24+02:00;0.0267194875
TB Bond Vibration;2021-05-24T12:11:25+02:00;0.026730112499999997
TB Bond Vibration;2021-05-24T12:11:26+02:00;0.02674205
TB Bond Vibration;2021-05-24T12:11:27+02:00;0.026848224999999996
TB Bond Vibration;2021-05-24T12:11:28+02:00;0.026877412499999996
TB Bond Vibration;2021-05-24T12:11:29+02:00;0.026943762500000003
TB Bond Vibration;2021-05-24T12:11:30+02:00;0.0269716375
TB Bond Vibration;2021-05-24T12:11:31+02:00;0.0267314375
TB Bond Vibration;2021-05-24T12:11:32+02:00;0.0268628125
TB Bond Vibration;2021-05-24T12:11:33+02:00;0.02686945
TB Bond Vibration;2021-05-24T12:11:34+02:00;0.026710212500000004
TB Bond Vibration;2021-05-24T12:11:35+02:00;0.026888025
TB Bond Vibration;2021-05-24T12:11:36+02:00;0.0268561875
TB Bond Vibration;2021-05-24T12:11:37+02:00;0.026885375
TB Bond Vibration;2021-05-24T12:11:38+02:00;0.026767275
TB Bond Vibration;2021-05-24T12:11:39+02:00;0.026710212500000004
TB Bond Vibration;2021-05-24T12:11:40+02:00;0.026767275
TB Bond Vibration;2021-05-24T12:11:41+02:00;0.026704899999999997
TB Bond Vibration;2021-05-24T12:11:42+02:00;0.026732774999999997
TB Bond Vibration;2021-05-24T12:11:43+02:00;0.026580162499999997
TB Bond Vibration;2021-05-24T12:11:44+02:00;0.026858824999999996
TB Bond Vibration;2021-05-24T12:11:45+02:00;0.026757975
TB Bond Vibration;2021-05-24T12:11:46+02:00;0.026608025
TB Bond Vibration;2021-05-24T12:11:47+02:00;0.026803100000000003
TB Bond Vibration;2021-05-24T12:11:48+02:00;0.026688974999999997
