sep=;
"Series";"Time";"Value"
"TD FFT Band 0";"2021-05-24T12:11:00+02:00";0.083886
"TD FFT Band 0";"2021-05-24T12:11:00+02:00";0.083669
"TD FFT Band 0";"2021-05-24T12:11:00+02:00";0.083701
"TD FFT Band 0";"2021-05-24T12:11:00+02:00";0.083004
"TD FFT Band 0";"2021-05-24T12:11:00+02:00";0.083402
"TD FFT Band 0";"2021-05-24T12:11:00+02:00";0.082467
"TD FFT Band 0";"2021-05-24T12:11:00+02:00";0.082119
"TD FFT Band 0";"2021-05-24T12:11:00+02:00";0.082386
"TD FFT Band 0";"2021-05-24T12:11:00+02:00";0.083083
"TD FFT Band 0";"2021-05-24T12:11:00+02:00";0.082327
"TD FFT Band 0";"2021-05-24T12:11:00+02:00";0.08168
"TD FFT Band 0";"2021-05-24T12:11:00+02:00";0.082692
"TD FFT Band 0";"2021-05-24T12:11:00+02:00";0.084106
"TD FFT Band 0";"2021-05-24T12:11:00+02:00";0.08421
"TD FFT Band 0";"2021-05-24T12:11:00+02:00";0.083797
"TD FFT Band 0";"2021-05-24T12:11:00+02:00";0.084156
"TD FFT Band 0";"2021-05-24T12:11:00+02:00";0.084305
"TD FFT Band 0";"2021-05-24T12:11:00+02:00";0.084126
"TD FFT Band 0";"2021-05-24T12:11:00+02:00";0.084529
"TD FFT Band 0";"2021-05-24T12:11:00+02:00";0.084581
"TD FFT Band 0";"2021-05-24T12:11:00+02:00";0.084901
"TD FFT Band 0";"2021-05-24T12:11:00+02:00";0.085136
"TD FFT Band 0";"2021-05-24T12:11:00+02:00";0.084682
"TD FFT Band 0";"2021-05-24T12:11:00+02:00";0.086105
"TD FFT Band 0";"2021-05-24T12:11:00+02:00";0.08566
"TD FFT Band 0";"2021-05-24T12:11:00+02:00";0.085723
"TD FFT Band 0";"2021-05-24T12:11:00+02:00";0.085737
"TD FFT Band 0";"2021-05-24T12:11:00+02:00";0.085948
"TD FFT Band 0";"2021-05-24T12:11:00+02:00";0.086595
"TD FFT Band 0";"2021-05-24T12:11:00+02:00";0.087144
"TD FFT Band 0";"2021-05-24T12:11:00+02:00";0.086757
"TD FFT Band 0";"2021-05-24T12:11:00+02:00";0.08741
"TD FFT Band 0";"2021-05-24T12:11:00+02:00";0.087122
