Continous Bond Quality 2 Pre;Continous Bond Quality 2 Pre;Continous Bond Quality 2 Pre;Continous Bond Quality 2 Pre;Continous Bond Quality 2 Pre;Continous Bond Quality 2 Pre;Continous Bond Quality 2 Pre;Continous Bond Quality 2 Pre;Continous Bond Quality 2 Pre;Continous Bond Quality 2 Iterate;Continous Bond Quality 2 Iterate;Continous Bond Quality 2 Iterate;Continous Bond Quality 2 Iterate;Continous Bond Quality 2 Iterate;Continous Bond Quality 2 Iterate;Variables;Variables;Variables;Variables;Variables;Variables;Variables;Variables;Variables;Variables
Bond Site Limits;Bond Site Limits;Bond Site Limits;Bond Site Limits;Bond Site Limits;Bond Site Limits;Bond Site Limits;Calc Key Parm;Calc Key Parm;CB DS;CB DS;CB OP;CB OP;Check Edge Suff. Bonds;Check Edge Suff. Bonds;Inspection Variable;Inspection Variable;Inspection Variable;Inspection Variable;Inspection Variable;Inspection Variable;Inspection Variable;Inspection Variable;Inspection Variable;Inspection Variable
CB Avg Bond Site Area (pix);N Bonds Expected in ROI;CB Unacceptable Limit - N Bonds in ROI;CB Acceptable Limit - N Bonds in ROI;HB Avg Bond Site Area (pix);HB Acceptable Limit - N Bonds in ROI;HB Unacceptable Limit - N Bonds in ROI;MD Iterations;MD Iteration Length;Percentage of Area;Pixel Count;Percentage of Area;Pixel Count;[DB] CB Num Bonds OP;[DB] CB Num Bonds DS;92203662.01;92203662.01c;92203662.02;92203662.02c;99971742.01;99971742.01c;99971742.02;99971742.02c;vALL.Image.Confidence;vALL.Image.Name
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;45,51282;142;33,01282;103;572,22222;788,88889;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_092648_041_P1611.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;39,74359;124;37,17949;116;644,44444;688,88889;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_092649_591_P1642.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;48,39744;151;40,38462;126;700;838,88889;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_092651_241_P1675.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;45,19231;141;37,5;117;650;783,33333;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_092652_791_P1706.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;43,91026;137;37,84722;109;605,55556;761,11111;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_092654_341_P1737.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;40,38462;126;40,0641;125;694,44444;700;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_092655_891_P1768.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;41,02564;128;40,70513;127;705,55556;711,11111;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_092657_441_P1799.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;38,14103;119;40,625;117;650;661,11111;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_092658_991_P1830.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;35,57692;111;39,74359;124;688,88889;616,66667;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_092700_541_P1861.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;42,94872;134;44,44444;128;711,11111;744,44444;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_092702_091_P1892.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;42,30769;132;42,62821;133;738,88889;733,33333;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_092703_641_P1923.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;43,26923;135;39,42308;123;683,33333;750;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_092705_191_P1954.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;38,46154;120;40,70513;127;705,55556;666,66667;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_092706_741_P1985.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;41,34615;129;39,10256;122;677,77778;716,66667;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_092708_291_P2016.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;42,94872;134;39,42308;123;683,33333;744,44444;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_092709_841_P2047.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;38,78205;121;43,58974;136;755,55556;672,22222;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_092711_391_P2078.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;43,26923;135;42,94872;134;744,44444;750;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_092712_941_P2109.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;43,91026;137;39,74359;124;688,88889;761,11111;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_092714_641_P2143.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;39,74359;124;40,70513;127;705,55556;688,88889;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_092716_191_P2174.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;46,47436;145;36,85897;115;638,88889;805,55556;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_092717_741_P2205.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;43,91026;137;37,5;117;650;761,11111;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_092719_291_P2236.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;41,34615;129;38,78205;121;672,22222;716,66667;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_092720_841_P2267.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;41,66667;130;42,30769;132;733,33333;722,22222;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_092722_391_P2298.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;39,42308;123;42,30769;132;733,33333;683,33333;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_092723_941_P2329.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;40,70513;127;38,14103;119;661,11111;705,55556;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_092725_491_P2360.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;45,19231;141;41,31944;119;661,11111;783,33333;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_092727_041_P2391.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;38,46154;120;41,31944;119;661,11111;666,66667;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_092728_591_P2422.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;43,58974;136;42,01389;121;672,22222;755,55556;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_092730_141_P2453.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;43,58974;136;44,23077;138;766,66667;755,55556;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_092731_691_P2484.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;40,38462;126;38,78205;121;672,22222;700;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_092733_241_P2515.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;46,15385;144;34,9359;109;605,55556;800;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_092734_791_P2546.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;43,91026;137;36,53846;114;633,33333;761,11111;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_092736_341_P2577.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;39,74359;124;41,02564;128;711,11111;688,88889;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_092737_891_P2608.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;43,58974;136;40,38462;126;700;755,55556;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_092739_441_P2639.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;41,34615;129;35,57692;111;616,66667;716,66667;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_092740_991_P2670.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;43,26923;135;37,82051;118;655,55556;750;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_092742_541_P2701.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;41,02564;128;40,0641;125;694,44444;711,11111;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_092744_091_P2732.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;42,94872;134;38,46154;120;666,66667;744,44444;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_092745_641_P2763.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;41,34615;129;34,9359;109;605,55556;716,66667;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_092747_191_P2794.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;40,70513;127;38,46154;120;666,66667;705,55556;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_092748_741_P2825.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;43,91026;137;36,85897;115;638,88889;761,11111;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_092750_291_P2856.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;41,02564;128;39,42308;123;683,33333;711,11111;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_092751_841_P2887.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;36,53846;114;34,9359;109;605,55556;633,33333;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_092753_391_P2918.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;42,30769;132;40,70513;127;705,55556;733,33333;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_092754_941_P2949.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;43,58974;136;31,08974;97;538,88889;755,55556;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_092756_491_P2980.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;44,55128;139;40,0641;125;694,44444;772,22222;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_092758_041_P3011.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;45,19231;141;34,61538;108;600;783,33333;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_092759_591_P3042.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;43,26923;135;36,21795;113;627,77778;750;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_092801_141_P3073.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;43,91026;137;30,44872;95;527,77778;761,11111;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_092802_691_P3104.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;42,62821;133;41,34615;129;716,66667;738,88889;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_092804_241_P3135.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;44,55128;139;40,38462;126;700;772,22222;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_092805_791_P3166.jpg
